WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:28,095 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:36,921 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:38,633 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:43,107 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:43,121 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:44,152 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:44,508 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:52,152 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:54,632 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:58,210 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:58,225 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:15:59,868 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:00,083 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:10,059 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:12,254 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:16,805 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:16,823 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:22,870 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:23,158 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:35,552 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:37,537 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:42,164 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:42,177 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:44,106 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:44,336 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:55,973 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:16:57,538 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:01,235 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:01,250 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:02,307 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:02,533 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:11,453 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:12,989 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:17,372 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:17,386 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:19,041 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:19,268 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:31,749 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:34,450 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:39,036 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:39,058 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:41,368 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:41,614 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:51,113 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:51,136 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:51,155 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:51,176 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:54,295 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:56,036 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:59,896 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:17:59,914 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:00,845 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:01,142 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:08,999 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:09,020 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:09,040 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
